Kernel,Blocks,HBM size,TAIDL-TO (CPU) (ms),TAIDL-TO (GPU) (ms),Intel SDE (ms)
cnn_inference_amx,4,14720,0.10739,0.60562,3.918
cnn_inference_amx,8,23424,0.168,0.996,6.398
cnn_inference_amx,16,40832,0.252,1.547,11.088
cnn_inference_amx,32,75648,0.478,2.288,20.395
cnn_inference_amx,64,145280,0.947,3.745,39.232
cnn_inference_amx,128,284544,1.902,6.452,76.877
cnn_inference_amx,256,563072,3.787,11.604,153.621
cnn_inference_mix,4,15888,0.08607,1.30261,4.628
cnn_inference_mix,8,25552,0.157,1.747,7.536
cnn_inference_mix,16,44880,0.308,2.695,13.354
cnn_inference_mix,32,83536,0.803,4.632,24.802
cnn_inference_mix,64,160848,1.878,8.503,47.635
cnn_inference_mix,128,315472,4.482,15.958,93.287
cnn_inference_mix,256,624720,11.628,31.415,185.877
mem_format_prop_avx,4,2784,0.02438,1.51383,1.478
mem_format_prop_avx,8,3296,0.031,2.099,2.179
mem_format_prop_avx,16,4320,0.042,3.367,3.533
mem_format_prop_avx,32,6368,0.061,5.728,6.425
mem_format_prop_avx,64,10464,0.105,10.699,12.011
mem_format_prop_avx,128,18656,0.175,19.924,23.11
mem_format_prop_avx,256,35040,0.286,37.376,42.915
rnn_inference_amx,4,11456,0.06738,0.74151,2.458
rnn_inference_amx,8,19904,0.117,0.698,4.062
rnn_inference_amx,16,36800,0.157,0.962,6.807
rnn_inference_amx,32,70592,0.294,1.62,12.426
rnn_inference_amx,64,138176,0.579,2.455,23.689
rnn_inference_amx,128,273344,1.15,3.78,46.136
rnn_inference_amx,256,543680,2.822,6.975,84.158
sgemm_avx,4,5024,0.02721,1.61445,1.185
sgemm_avx,8,5792,0.031,2.012,1.593
sgemm_avx,16,7328,0.04,3.067,2.224
sgemm_avx,32,10400,0.059,5.138,3.947
sgemm_avx,64,16544,0.097,9.096,6.669
sgemm_avx,128,28832,0.168,17.433,13.526
sgemm_avx,256,53408,0.289,32.449,26.167
