HBM Size,DIM,I,Dataflow,CPU Compile Time (ms),GPU Compile Time (ms),CPU Runtime (ms),GPU Runtime (ms)
1024,16,1,OS,0,0,0.084,0.653
1792,16,2,OS,0,0,0.081,0.584
3328,16,4,OS,0,0,0.102,0.739
6400,16,8,OS,0,0,0.114,0.674
12544,16,16,OS,0,0,0.147,0.944
24832,16,32,OS,0,0,0.246,1.058
49408,16,64,OS,0,0,0.446,1.881
98560,16,128,OS,0,0,0.684,2.437
196864,16,256,OS,0,0,1.074,3.938
16384,64,1,OS,0,0,0.283,0.678
28672,64,2,OS,0,0,0.632,0.627
53248,64,4,OS,0,0,0.981,0.705
102400,64,8,OS,0,0,1.188,0.671
200704,64,16,OS,0,0,1.607,0.967
397312,64,32,OS,0,0,2.380,1.390
790528,64,64,OS,0,0,4.291,2.287
262144,256,1,OS,0,0,1.816,0.584
458752,256,2,OS,0,0,3.320,1.108
851968,256,4,OS,0,0,5.735,1.292
1638400,256,8,OS,0,0,10.440,1.907
3211264,256,16,OS,0,0,19.708,3.026
4194304,1024,1,OS,0,0,6.837,3.936
7340032,1024,2,OS,0,0,13.551,6.735
13631488,1024,4,OS,0,0,26.677,11.280
1024,16,1,WS,0,0,0.111,0.979
1792,16,2,WS,0,0,0.161,0.721
3328,16,4,WS,0,0,0.100,0.878
6400,16,8,WS,0,0,0.093,0.956
12544,16,16,WS,0,0,0.147,0.860
24832,16,32,WS,0,0,0.258,0.976
49408,16,64,WS,0,0,0.470,1.623
98560,16,128,WS,0,0,0.723,2.552
196864,16,256,WS,0,0,1.135,3.975
16384,64,1,WS,0,0,0.579,0.828
28672,64,2,WS,0,0,0.399,0.764
53248,64,4,WS,0,0,1.093,0.703
102400,64,8,WS,0,0,1.291,0.751
200704,64,16,WS,0,0,1.692,1.063
397312,64,32,WS,0,0,2.545,1.507
790528,64,64,WS,0,0,4.202,2.201
262144,256,1,WS,0,0,1.654,1.006
458752,256,2,WS,0,0,3.494,1.055
851968,256,4,WS,0,0,5.929,1.369
1638400,256,8,WS,0,0,9.722,2.030
3211264,256,16,WS,0,0,18.103,2.971
4194304,1024,1,WS,0,0,8.918,4.028
7340032,1024,2,WS,0,0,13.253,6.800
13631488,1024,4,WS,0,0,28.290,11.604
